conid,ticker,currency,listingExchange,countryCode,name,assetClass,group,sector,sectorGroup,type,hasOptions,fullName
4157,ADI,USD,NASDAQ,US,ANALOG DEVICES INC,STK,Semiconductors,Technology,Electronic Compo-Semicon,COMMON,true,ADI
4211,AEP,USD,NASDAQ,US,AMERICAN ELECTRIC POWER,STK,Electric,Utilities,Electric-Integrated,COMMON,true,AEP
4350,HON,USD,NASDAQ,US,HONEYWELL INTERNATIONAL INC,STK,Electronics,Industrial,Instruments-Controls,COMMON,true,HON
4391,AMD,USD,NASDAQ,US,ADVANCED MICRO DEVICES,STK,Semiconductors,Technology,Electronic Compo-Semicon,COMMON,true,AMD
4691,AVT,USD,NASDAQ,US,AVNET INC,STK,Electronics,Industrial,Electronic Parts Distrib,COMMON,true,AVT
4661,ADP,USD,NASDAQ,US,AUTOMATIC DATA PROCESSING,STK,Commercial Services,"Consumer, Non-cyclical",Commercial Services,COMMON,true,ADP
2730872,APWC,USD,NASDAQ,US,ASIA PACIFIC WIRE & CABLE,STK,Electrical Compo&amp;Equip,Industrial,Wire&amp;Cable Products,COMMON,false,APWC
5552,CDNS,USD,NASDAQ,US,CADENCE DESIGN SYS INC,STK,Software,Technology,Computer Aided Design,COMMON,true,CDNS
2586004,CULP,USD,NASDAQ,US,CULP INC,STK,Textiles,"Consumer, Cyclical",Textile-Products,COMMON,true,CULP
5980,CPB,USD,NASDAQ,US,THE CAMPBELL'S COMPANY,STK,Food,"Consumer, Non-cyclical",Food-Misc/Diversified,COMMON,true,CPB
6150,CSX,USD,NASDAQ,US,CSX CORP,STK,Transportation,Industrial,Transport-Rail,COMMON,true,CSX
4457288,DOX,USD,NASDAQ,US,AMDOCS LTD,STK,Computers,Technology,Computer Services,COMMON,true,DOX
754956,HAS,USD,NASDAQ,US,HASBRO INC,STK,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,COMMON,true,HAS
7830,GT,USD,NASDAQ,US,GOODYEAR TIRE & RUBBER CO,STK,Auto Parts&amp;Equipment,"Consumer, Cyclical",Rubber-Tires,COMMON,true,GT
8057,HST,USD,NASDAQ,US,HOST HOTELS & RESORTS INC,STK,REITS,Financial,REITS-Hotels,REIT,true,HST
8864,KMB,USD,NASDAQ,US,KIMBERLY-CLARK CORP,STK,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,COMMON,true,KMB
9358,MAR,USD,NASDAQ,US,MARRIOTT INTERNATIONAL -CL A,STK,Lodging,"Consumer, Cyclical",Hotels&amp;Motels,COMMON,true,MAR
5026984,LNT,USD,NASDAQ,US,ALLIANT ENERGY CORP,STK,Electric,Utilities,Electric-Integrated,COMMON,true,LNT
9365,MAT,USD,NASDAQ,US,MATTEL INC,STK,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,COMMON,true,MAT
9939,MU,USD,NASDAQ,US,MICRON TECHNOLOGY INC,STK,Semiconductors,Technology,Electronic Compo-Semicon,COMMON,true,MU
10517,XEL,USD,NASDAQ,US,XCEL ENERGY INC,STK,Electric,Utilities,Electric-Integrated,COMMON,true,XEL
10627,NWL,USD,NASDAQ,US,NEWELL BRANDS INC,STK,Housewares,"Consumer, Cyclical",Housewares,COMMON,true,NWL
14241431,SYNA,USD,NASDAQ,US,SYNAPTICS INC,STK,Semiconductors,Technology,Electronic Compo-Semicon,COMMON,true,SYNA
11017,PEP,USD,NASDAQ,US,PEPSICO INC,STK,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,COMMON,true,PEP
11032,PFG,USD,NASDAQ,US,PRINCIPAL FINANCIAL GROUP,STK,Insurance,Financial,Life/Health Insurance,COMMON,true,PFG
11000,EXC,USD,NASDAQ,US,EXELON CORP,STK,Electric,Utilities,Electric-Distribution,COMMON,true,EXC
11574,REG,USD,NASDAQ,US,REGENCY CENTERS CORP,STK,REITS,Financial,REITS-Shopping Centers,REIT,true,REG
2585629,ROP,USD,NASDAQ,US,ROPER TECHNOLOGIES INC,STK,Software,Technology,Applications Software,COMMON,true,ROP
12211,SLM,USD,NASDAQ,US,SLM CORP,STK,Diversified Finan Serv,Financial,Finance-Consumer Loans,COMMON,true,SLM
12661,TWIN,USD,NASDAQ,US,TWIN DISC INC,STK,Machinery-Diversified,Industrial,Machinery-General Indust,COMMON,true,TWIN
12729,TER,USD,NASDAQ,US,TERADYNE INC,STK,Semiconductors,Technology,Semiconductor Equipment,COMMON,true,TER
13096,TXN,USD,NASDAQ,US,TEXAS INSTRUMENTS INC,STK,Semiconductors,Technology,Electronic Compo-Semicon,COMMON,true,TXN
