id,symbol,name,publisher,instrument_class,currency,exchange,mic,asset,security_type,min_lot_size,expiration,max_price_variation,unit_of_measure_qty,min_price_increment,display_factor,price_display_format,price_ratio,underlying_symbol,maturity_year,maturity_month,maturity_day,group,tick_rule,strike_price,strike_price_currency
4157,ADI,ANALOG DEVICES INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
4211,AEP,AMERICAN ELECTRIC POWER,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Electric,,,
4350,HON,HONEYWELL INTERNATIONAL INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Electronics,,,
4391,AMD,ADVANCED MICRO DEVICES,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
4691,AVT,AVNET INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Electronics,,,
4661,ADP,AUTOMATIC DATA PROCESSING,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Commercial Services,,,
2730872,APWC,ASIA PACIFIC WIRE & CABLE,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Electrical Compo&amp;Equip,,,
5552,CDNS,CADENCE DESIGN SYS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Software,,,
2586004,CULP,CULP INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Textiles,,,
5980,CPB,THE CAMPBELL'S COMPANY,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Food,,,
6150,CSX,CSX CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Transportation,,,
4457288,DOX,AMDOCS LTD,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Computers,,,
754956,HAS,HASBRO INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Toys/Games/Hobbies,,,
7830,GT,GOODYEAR TIRE & RUBBER CO,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Auto Parts&amp;Equipment,,,
8057,HST,HOST HOTELS & RESORTS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,REITS,,,
8864,KMB,KIMBERLY-CLARK CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Household Products/Wares,,,
9358,MAR,MARRIOTT INTERNATIONAL -CL A,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Lodging,,,
5026984,LNT,ALLIANT ENERGY CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Electric,,,
9365,MAT,MATTEL INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Toys/Games/Hobbies,,,
9939,MU,MICRON TECHNOLOGY INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
10517,XEL,XCEL ENERGY INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Electric,,,
10627,NWL,NEWELL BRANDS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Housewares,,,
14241431,SYNA,SYNAPTICS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
11017,PEP,PEPSICO INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Beverages,,,
11032,PFG,PRINCIPAL FINANCIAL GROUP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Insurance,,,
11000,EXC,EXELON CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Electric,,,
11574,REG,REGENCY CENTERS CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,REITS,,,
2585629,ROP,ROPER TECHNOLOGIES INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Software,,,
12211,SLM,SLM CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Diversified Finan Serv,,,
12661,TWIN,TWIN DISC INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Machinery-Diversified,,,
12729,TER,TERADYNE INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
13096,TXN,TEXAS INSTRUMENTS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
2585978,UTMD,UTAH MEDICAL PRODUCTS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Healthcare-Products,,,
13508,VLY,VALLEY NATIONAL BANCORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Banks,,,
13681,WDC,WESTERN DIGITAL CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Computers,,,
13824,WMT,WALMART INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Retail,,,
268977,ERIC,ERICSSON (LM) TEL-SP ADR,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Telecommunications,,,
265585,AAME,ATLANTIC AMERICAN CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Insurance,,,
265595,AAON,AAON INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Building Materials,,,
265598,AAPL,APPLE INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Computers,,,
265768,ADBE,ADOBE INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Software,,,
265681,ADSK,AUTODESK INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Software,,,
4725941,AEHR,AEHR TEST SYSTEMS,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
4725946,AEIS,ADVANCED ENERGY INDUSTRIES,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Electronics,,,
266000,ALCO,ALICO INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Agriculture,,,
4726021,SWKS,SKYWORKS SOLUTIONS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
4726067,AIRT,AIR T INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Transportation,,,
266058,ALOT,ASTRONOVA INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Office/Business Equip,,,
266145,AMGN,AMGEN INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Biotechnology,,,
266093,AMAT,APPLIED MATERIALS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
4726244,AMKR,AMKOR TECHNOLOGY INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
4726349,ANIK,ANIKA THERAPEUTICS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Pharmaceuticals,,,
266201,AMWD,AMERICAN WOODMARK CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Building Materials,,,
3691937,AMZN,AMAZON.COM INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Internet,,,
4726335,ANDE,ANDERSONS INC/THE,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Agriculture,,,
266285,APOG,APOGEE ENTERPRISES INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Building Materials,,,
266348,ARKR,ARK RESTAURANTS CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Retail,,,
266370,AROW,ARROW FINANCIAL CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Banks,,,
4726536,ARTNA,ARTESIAN RESOURCES CORP-CL A,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Water,,,
4726547,ARTW,ART'S-WAY MANUFACTURING CO,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Machinery-Diversified,,,
266478,ASTE,ASTEC INDUSTRIES INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Machinery-Constr&amp;Mining,,,
4726724,ATRO,ASTRONICS CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Aerospace/Defense,,,
4726746,AUBN,AUBURN NATL BANCORPORATION,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Banks,,,
4535221,AWRE,AWARE INC/MASS,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Software,,,
4726868,AXTI,AXT INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Semiconductors,,,
266611,BANF,BANCFIRST CORP,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Banks,,,
4726995,BCRX,BIOCRYST PHARMACEUTICALS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Biotechnology,,,
4726958,BBSI,BARRETT BUSINESS SVCS INC,,K,USD,NASDAQ,XNAS,,,,,,,,,,,,,,,Commercial Services,,,
