id,symbol,name,publisher,instrument_class,currency,exchange,mic,asset,security_type,min_lot_size,expiration,max_price_variation,unit_of_measure_qty,min_price_increment,display_factor,price_display_format,price_ratio REAL,underlying_symbol,maturity_year,maturity_month,maturity_day,group,tick_rule,strike_price,strike_price_currency
5094,BMO,BANK OF MONTREAL,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
15156975,BNS,BANK OF NOVA SCOTIA,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
121811784,TU,TELUS CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Telecommunications,,,
6607659,CM,CAN IMPERIAL BK OF COMMERCE,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
11926119,CNQ,CANADIAN NATURAL RESOURCES,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Oil&amp;Gas,,,
4457163,CNI,CANADIAN NATL RAILWAY CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Transportation,,,
4730124,ENB,ENBRIDGE INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pipelines,,,
2008980,RY,ROYAL BANK OF CANADA,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
14487456,TAC,TRANSALTA CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
2009210,TD,TORONTO-DOMINION BANK,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
39921623,TECK,TECK RESOURCES LTD-CLS B,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Mining,,,
851181134,AZN,ASTRAZENECA PLC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pharmaceuticals,,,
4065,ABT,ABBOTT LABORATORIES .,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Products,,,
13435352,DB,DEUTSCHE BANK AG-REGISTERED,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
3804335,SAP,SAP SE-SPONSORED ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Software,,,
837140579,TTE,TOTALENERGIES SE,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Oil&amp;Gas,,,
4721,AXP,AMERICAN EXPRESS CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Diversified Finan Serv,,,
5749,CL,COLGATE-PALMOLIVE CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Cosmetics/Personal Care,,,
8314,IBM,INTL BUSINESS MACHINES CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Computers,,,
9408,MCD,MC DONALD'S-CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
11031,PFE,PFIZER INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pharmaceuticals,,,
11054,PG,PROCTER & GAMBLE CO/THE,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Cosmetics/Personal Care,,,
9769,MO,ALTRIA GROUP INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Agriculture,,,
1715006,A,AGILENT TECHNOLOGIES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Products,,,
4027,AAP,ADVANCE AUTO PARTS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
1714996,COR,CENCORA INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pharmaceuticals,,,
4050,ABM,ABM INDUSTRIES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Commercial Services,,,
4151,ADC,AGREE REALTY CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
4165,ADM,ARCHER-DANIELS-MIDLAND CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Agriculture,,,
4187,ADX,ADAMS DIVERSIFIED EQUITY,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
4227,AFL,AFLAC INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Insurance,,,
4230,AGCO,AGCO CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Machinery-Diversified,,,
13181,AEE,AMEREN CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
