conid,ticker,currency,listingExchange,countryCode,name,assetClass,group,sector,sectorGroup,type,hasOptions,fullName
1715006,A,USD,NYSE,US,AGILENT TECHNOLOGIES INC,STK,Healthcare-Products,"Consumer, Non-cyclical",Diagnostic Equipment,COMMON,true,A
265598,AAPL,USD,NASDAQ,US,APPLE INC,STK,Computers,Technology,Computers,COMMON,true,AAPL
118089500,ABBV,USD,NYSE,US,ABBVIE INC,STK,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,COMMON,true,ABBV
459530964,ABNB,USD,NASDAQ,US,AIRBNB INC-CLASS A,STK,Internet,Communications,E-Commerce/Services,COMMON,true,ABNB
4065,ABT,USD,NYSE,US,ABBOTT LABORATORIES .,STK,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,COMMON,true,ABT
10763362,ACGL,USD,NASDAQ,US,ARCH CAPITAL GROUP LTD,STK,Insurance,Financial,Property/Casualty Ins,COMMON,true,ACGL
67889930,ACN,USD,NYSE,US,ACCENTURE PLC-CL A,STK,Computers,Technology,Computer Services,COMMON,true,ACN
265768,ADBE,USD,NASDAQ,US,ADOBE INC,STK,Software,Technology,Electronic Forms,COMMON,true,ADBE
4157,ADI,USD,NASDAQ,US,ANALOG DEVICES INC,STK,Semiconductors,Technology,Electronic Compo-Semicon,COMMON,true,ADI
4165,ADM,USD,NYSE,US,ARCHER-DANIELS-MIDLAND CO,STK,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,COMMON,true,ADM
4661,ADP,USD,NASDAQ,US,AUTOMATIC DATA PROCESSING,STK,Commercial Services,"Consumer, Non-cyclical",Commercial Services,COMMON,true,ADP
265681,ADSK,USD,NASDAQ,US,AUTODESK INC,STK,Software,Technology,Computer Aided Design,COMMON,true,ADSK
13181,AEE,USD,NYSE,US,AMEREN CORP,STK,Electric,Utilities,Electric-Integrated,COMMON,true,AEE
4211,AEP,USD,NASDAQ,US,AMERICAN ELECTRIC POWER,STK,Electric,Utilities,Electric-Integrated,COMMON,true,AEP
2560358,AES,USD,NYSE,US,AES CORP,STK,Electric,Utilities,Electric-Integrated,COMMON,true,AES
4227,AFL,USD,NYSE,US,AFLAC INC,STK,Insurance,Financial,Life/Health Insurance,COMMON,true,AFL
